DBN,School,District,Borough,Schoolnum,ThreeELA,ThreeMath,FourELA,FourMath,FiveELA,FiveMath,SixELA,SixMath,SevenELA,SevenMath,EightELA,EightMath,AllGradeELA,AllGradeMath
26Q098,P.S. 098 THE DOUGLASTON SCHOOL,26,Queens,98,86.49,72.50,82.61,90.91,75.00,79.31,,,,,,,81.82,79.12
21K099,P.S. 099 ISAAC ASIMOV,21,Brooklyn,99,39.56,43.62,50.00,63.54,42.35,50.00,20.73,34.88,37.04,40.00,39.13,15.69,38.40,43.60
28Q099,P.S. 099 KEW GARDENS,28,Queens,99,47.15,57.72,63.36,66.92,48.72,58.47,48.65,58.90,,,,,52.58,60.81
27Q100,P.S. 100 GLEN MORRIS,27,Queens,100,47.33,54.90,48.12,62.96,33.56,48.00,,,,,,,42.82,55.02
08X100,P.S. 100 ISAAC CLASON,8,Bronx,100,15.56,5.49,23.86,12.64,28.28,20.00,,,,,,,22.74,12.95
21K100,P.S. 100 THE CONEY ISLAND SCHOOL,21,Brooklyn,100,78.50,66.67,80.85,74.23,62.24,62.38,,,,,,,73.91,67.64
28Q101,P.S. 101 SCHOOL IN THE GARDENS,28,Queens,101,63.51,74.67,77.78,78.22,65.17,72.41,48.00,60.00,,,,,67.60,73.96
21K101,P.S. 101 THE VERRAZANO,21,Brooklyn,101,58.33,56.58,76.35,68.87,56.86,64.29,,,,,,,63.82,63.24
24Q102,P.S. 102 BAYVIEW,24,Queens,102,47.10,53.16,47.68,48.08,42.68,52.69,58.39,48.98,64.60,69.03,60.18,61.06,52.43,54.57
04M102,P.S. 102 JACQUES CARTIER,4,Manhattan,102,29.41,23.53,33.33,41.03,12.90,6.25,,,,,,,26.45,24.59
20K102,P.S. 102 THE BAYVIEW,20,Brooklyn,102,69.38,68.08,54.08,57.50,55.56,54.63,,,,,,,59.53,60.03
11X103,P.S. 103 HECTOR FONTANEZ,11,Bronx,103,28.85,16.75,22.03,13.89,22.45,21.85,,,,,,,24.81,17.22
27Q104,P.S. 104 THE BAYS WATER,27,Queens,104,28.28,28.00,21.70,14.02,15.79,25.00,,,,,,,22.00,22.11
11X105,P.S. 105 SEN ABRAHAM BERNSTEIN,11,Bronx,105,35.56,39.34,37.70,44.22,28.10,28.11,,,,,,,33.75,37.12
27Q105,P.S. 105 THE BAY SCHOOL,27,Queens,105,16.00,10.10,8.43,3.75,16.05,15.00,12.50,8.75,21.69,14.46,19.57,0.00,15.80,9.02
20K105,P.S. 105 THE BLYTHEBOURNE,20,Brooklyn,105,41.38,76.09,49.81,73.65,39.27,83.75,,,,,,,43.48,77.87
32K106,P.S. 106 EDWARD EVERETT HALE,32,Brooklyn,106,18.52,16.28,8.57,19.44,9.86,12.68,,,,,,,12.61,16.16
11X106,P.S. 106 PARKCHESTER,11,Bronx,106,39.39,40.59,43.45,43.02,31.03,27.88,,,,,,,37.50,36.55
08X107,P.S. 107,8,Bronx,107,26.92,24.69,24.39,14.63,16.88,6.33,,,,,,,22.78,15.29
15K107,P.S. 107 JOHN W. KIMBALL,15,Brooklyn,107,86.21,78.16,90.43,88.17,76.47,86.76,,,,,,,85.14,84.27
25Q107,P.S. 107 THOMAS A DOOLEY,25,Queens,107,43.84,40.13,54.41,56.74,50.34,64.29,,,,,,,49.42,53.69
04M108,P.S. 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL COMPLEX,4,Manhattan,108,32.61,41.30,17.39,10.87,28.00,34.69,9.30,8.14,16.67,7.41,24.42,9.41,20.10,15.78
27Q108,P.S. 108 CAPTAIN VINCENT G. FOWLER,27,Queens,108,53.13,45.91,49.55,50.67,46.49,50.66,,,,,,,49.86,48.94
11X108,P.S. 108 PHILIP J. ABINANTI,11,Bronx,108,38.14,45.45,48.48,56.72,43.21,54.76,,,,,,,42.62,51.60
19K108,P.S. 108 SAL ABBRACCIAMENTO,19,Brooklyn,108,37.69,25.95,39.74,43.67,56.35,58.46,,,,,,,44.23,42.72
22K109,P.S. 109,22,Brooklyn,109,23.53,28.79,38.00,24.00,13.46,11.54,36.17,11.70,30.14,9.72,25.00,7.14,28.33,15.13
09X109,P.S. 109 SEDGWICK,9,Bronx,109,19.13,24.79,26.96,20.35,17.36,8.13,,,,,,,21.08,17.56
31R011,P.S. 11 THOMAS DONGAN SCHOOL,31,Staten Island,11,22.22,21.74,31.43,28.57,23.81,26.19,,,,,,,25.41,25.20
24Q110,P.S. 110,24,Queens,110,21.43,21.74,,,,,,,,,,,21.43,21.74
01M110,P.S. 110 FLORENCE NIGHTINGALE,1,Manhattan,110,62.96,64.20,59.18,71.43,41.54,52.31,,,,,,,54.87,62.05
14K110,P.S. 110 THE MONITOR,14,Brooklyn,110,50.00,52.38,50.00,50.00,28.57,17.24,,,,,,,45.16,43.20
09X110,P.S. 110 THEODORE SCHOENFELD,9,Bronx,110,34.55,20.69,26.56,31.82,10.14,13.89,,,,,,,22.87,21.94
02M111,P.S. 111 ADOLPH S. OCHS,2,Manhattan,111,41.86,52.17,33.33,28.89,36.17,30.61,,,,,42.55,31.91,38.46,35.83
30Q111,P.S. 111 JACOB BLACKWELL,30,Queens,111,25.00,19.44,0.00,4.00,7.50,5.00,8.00,0.00,12.50,17.65,19.35,6.25,12.77,9.38
11X111,P.S. 111 SETON FALLS,11,Bronx,111,20.20,19.61,13.45,8.40,7.56,5.93,,,,,,,13.35,10.91
11X112,P.S. 112 BRONXWOOD,11,Bronx,112,14.58,12.50,5.26,8.77,6.06,3.03,,,,,,,8.19,7.60
30Q112,P.S. 112 DUTCH KILLS,30,Queens,112,29.55,22.22,42.65,43.48,21.74,19.72,,,,,,,31.11,27.83
20K112,P.S. 112 LEFFERTS PARK,20,Brooklyn,112,50.00,59.78,55.88,44.76,40.23,46.15,,,,,,,49.10,50.00
18K114,P.S. 114 RYDER ELEMENTARY,18,Brooklyn,114,19.79,25.25,22.08,20.00,30.85,10.10,,,,,,,24.34,18.35
06M115,P.S. 115 ALEXANDER HUMBOLDT,6,Manhattan,115,11.94,26.47,16.46,12.05,7.87,10.87,,,,,,,11.91,15.64
18K115,P.S. 115 DANIEL MUCATEL SCHOOL,18,Brooklyn,115,40.48,38.24,38.37,24.86,27.11,20.48,,,,,,,35.38,27.90
32K116,P.S. 116 ELIZABETH L FARRELL,32,Brooklyn,116,22.34,22.92,21.05,20.51,14.10,29.11,,,,,,,19.35,24.11
02M116,P.S. 116 MARY LINDLEY MURRAY,2,Manhattan,116,71.26,57.61,65.14,57.39,60.17,56.20,,,,,,,64.97,57.01
28Q117,P.S. 117 J. KELD / BRIARWOOD SCHOOL,28,Queens,117,39.76,47.31,42.14,44.37,40.00,48.41,,,,,,,40.56,46.78
29Q118,P.S. 118 LORRAINE HANSBERRY,29,Queens,118,40.00,21.54,31.18,28.72,26.44,20.22,,,,,,,31.84,23.79
22K119,P.S. 119 AMERSFORT,22,Brooklyn,119,33.33,29.55,34.18,29.63,22.50,13.58,,,,,,,30.04,24.40
14K120,P.S. 120 CARLOS TAPIA,14,Brooklyn,120,42.86,36.73,41.38,62.07,26.53,36.00,,,,,,,37.18,45.86
25Q120,P.S. 120 QUEENS,25,Queens,120,38.50,53.89,42.28,56.25,40.00,61.73,,,,,,,40.12,57.09
21K121,P.S. 121 NELSON A. ROCKEFELLER,21,Brooklyn,121,48.00,65.38,39.02,35.71,47.37,50.00,66.67,58.33,52.17,45.83,65.38,48.15,51.41,49.17
28Q121,P.S. 121 QUEENS,28,Queens,121,60.42,62.68,46.77,52.42,37.96,41.01,,,,,,,48.64,52.10
11X121,P.S. 121 THROOP,11,Bronx,121,38.26,35.76,24.29,34.75,25.34,31.03,,,,,,,29.43,33.87
30Q122,P.S. 122 MAMIE FAY,30,Queens,122,60.95,55.03,67.88,66.86,54.44,55.88,100.00,100.00,100.00,97.62,100.00,,75.10,70.14
27Q123,P.S. 123,27,Queens,123,28.85,20.95,25.77,25.51,20.00,22.73,,,,,,,24.76,23.00
05M123,P.S. 123 MAHALIA JACKSON,5,Manhattan,123,14.63,0.00,24.53,11.54,21.57,9.26,17.65,7.55,13.21,0.00,12.50,0.00,17.38,4.73
32K123,P.S. 123 SUYDAM,32,Brooklyn,123,20.00,25.00,20.18,19.30,9.02,6.56,,,,,,,16.18,16.67
27Q124,P.S. 124 OSMOND A CHURCH,27,Queens,124,33.57,36.88,44.59,43.64,35.21,41.50,33.33,33.56,39.86,46.94,47.80,17.05,39.29,37.13
15K124,P.S. 124 SILAS B. DUTCHER,15,Brooklyn,124,36.11,44.44,44.90,40.82,18.18,34.09,,,,,,,33.33,39.53
02M124,P.S. 124 YUNG WING,2,Manhattan,124,70.40,79.37,72.79,83.94,52.31,74.81,,,,,,,65.22,79.44
05M125,P.S. 125 RALPH BUNCHE,5,Manhattan,125,60.00,80.00,38.89,61.11,27.78,31.58,,,,,,,39.13,53.19
09X126,P.S. 126 DR MARJORIE H DUNBAR,9,Bronx,126,20.69,13.48,30.21,21.21,26.00,7.69,,,,,,,25.80,14.04
02M126,P.S. 126 JACOB AUGUST RIIS,2,Manhattan,126,45.71,50.68,39.62,46.30,26.00,59.62,56.03,75.86,71.84,72.12,79.61,,57.98,64.16
30Q127,P.S. 127 AEROSPACE SCIENCE MAGNET SCHOOL,30,Queens,127,31.95,21.39,24.84,24.38,20.55,16.89,36.05,38.10,33.04,14.78,33.04,16.24,29.70,22.44
20K127,P.S. 127 MCKINLEY PARK,20,Brooklyn,127,54.32,54.12,52.17,51.61,44.87,51.28,,,,,,,50.60,52.34
06M128,P.S. 128 AUDUBON,6,Manhattan,128,27.63,41.77,25.88,29.35,16.67,18.67,,,,,,,23.61,30.08
21K128,P.S. 128 BENSONHURST,21,Brooklyn,128,22.39,30.26,26.23,31.75,22.22,38.36,,,,,,,23.50,33.49
24Q128,"P.S. 128 THE LORRAINE TUZZO, JUNIPER VALLEY ELEMENTARY SCHOOL",24,Queens,128,65.49,62.61,76.47,64.71,56.84,58.51,66.02,54.81,52.87,65.88,76.92,24.56,66.28,57.67
05M129,P.S. 129 JOHN H. FINLEY,5,Manhattan,129,21.05,38.46,24.49,14.29,36.07,27.69,11.76,7.89,11.11,5.26,28.57,5.36,24.09,16.84
25Q129,P.S. 129 PATRICIA LARKIN,25,Queens,129,56.35,67.03,64.10,64.38,49.38,60.24,,,,,,,56.51,63.99
25Q130,P.S. 130,25,Queens,130,56.52,76.09,,,,,,,,,,,56.52,76.09
08X130,P.S. 130 ABRAM STEVENS HEWITT,8,Bronx,130,9.88,19.51,16.88,29.49,8.57,8.45,,,,,,,11.84,19.48
02M130,P.S. 130 HERNANDO DE SOTO,2,Manhattan,130,73.05,82.04,70.52,82.86,75.97,83.08,,,,,,,72.92,82.63
15K130,P.S. 130 THE PARKSIDE,15,Brooklyn,130,50.45,41.07,51.72,38.20,49.35,51.90,,,,,,,50.55,43.21
29Q131,P.S. 131 ABIGAIL ADAMS,29,Queens,131,71.23,66.23,65.75,62.18,61.24,65.89,,,,,,,66.27,64.68
15K131,P.S. 131 BROOKLYN,15,Brooklyn,131,40.99,39.39,50.60,49.42,37.42,44.81,,,,,,,43.18,44.60
09X132,P.S. 132 GARRET A. MORGAN,9,Bronx,132,5.48,4.05,14.08,6.94,11.86,3.33,,,,,,,10.34,4.85
06M132,P.S. 132 JUAN PABLO DUARTE,6,Manhattan,132,17.78,12.09,21.10,25.23,15.28,8.00,,,,,,,18.45,16.25
29Q132,P.S. 132 RALPH BUNCHE,29,Queens,132,43.33,38.98,45.28,44.44,43.14,35.29,,,,,,,43.90,39.63
14K132,P.S. 132 THE CONSELYEA SCHOOL,14,Brooklyn,132,64.13,67.03,84.52,60.71,60.47,62.07,,,,,,,69.47,63.36
05M133,P.S. 133 FRED R MOORE,5,Manhattan,133,12.50,41.67,21.05,18.42,3.23,0.00,,,,,,,12.90,18.28
26Q133,P.S. 133 QUEENS,26,Queens,133,67.65,76.47,80.00,86.67,57.58,69.23,,,,,,,68.04,77.20
13K133,P.S. 133 WILLIAM A. BUTLER,13,Brooklyn,133,49.37,46.91,57.14,56.86,29.73,10.81,,,,,,,47.27,42.01
12X134,P.S. 134 GEORGE F. BRISTOW,12,Bronx,134,10.87,4.30,22.55,19.61,18.63,14.71,,,,,,,17.57,13.13
01M134,P.S. 134 HENRIETTA SZOLD,1,Manhattan,134,22.86,33.33,20.93,32.56,47.06,61.76,,,,,,,29.46,41.59
29Q134,P.S. 134 HOLLIS,29,Queens,134,42.31,23.08,40.00,16.67,20.75,17.65,,,,,,,35.71,19.49
18K135,P.S. 135 SHELDON A. BROOKNER,18,Brooklyn,135,29.57,30.17,37.50,27.27,30.00,20.91,,,,,,,32.34,26.19
29Q136,P.S. 136 ROY WILKINS,29,Queens,136,37.37,28.28,28.72,19.15,20.27,16.00,,,,,,,29.59,21.64
01M137,P.S. 137 JOHN L. BERNSTEIN,1,Manhattan,137,20.00,10.00,8.70,26.09,6.67,6.67,,,,,,,10.96,13.70
17K138,P.S. 138 BROOKLYN,17,Brooklyn,138,47.69,49.23,43.14,39.62,39.62,23.64,23.53,43.18,18.82,25.88,30.86,33.73,32.14,35.90
08X138,P.S. 138 SAMUEL RANDALL,8,Bronx,138,29.55,26.52,27.27,30.77,14.85,24.24,,,,,,,24.73,27.54
22K139,P.S. 139 ALEXINE A. FENTY,22,Brooklyn,139,34.16,30.36,41.18,36.50,36.05,31.08,,,,,,,36.94,32.45
28Q139,P.S. 139 REGO PARK,28,Queens,139,51.49,53.28,61.59,57.45,46.15,48.51,,,,,,,53.23,53.16
28Q140,P.S. 140 EDWARD K ELLINGTON,28,Queens,140,18.18,27.94,26.47,20.83,18.07,10.59,,,,,,,20.74,19.11
01M140,P.S. 140 NATHAN STRAUS,1,Manhattan,140,17.86,7.14,3.23,12.50,19.05,14.29,9.26,32.14,17.02,8.70,34.43,13.11,18.18,15.98
01M142,P.S. 142 AMALIA CASTRO,1,Manhattan,142,25.00,21.05,15.52,16.36,17.39,21.28,,,,,,,18.75,19.29
24Q143,P.S. 143 LOUIS ARMSTRONG,24,Queens,143,18.75,23.77,18.30,25.77,11.11,21.07,,,,,,,16.46,23.71
28Q144,P.S. 144 COL JEROMUS REMSEN,28,Queens,144,65.73,61.64,70.48,72.48,55.56,62.96,,,,,,,64.04,65.29
32K145,P.S. 145 ANDREW JACKSON,32,Brooklyn,145,31.73,22.33,27.03,30.09,16.83,19.23,,,,,,,25.32,24.06
03M145,"P.S. 145, THE BLOOMINGDALE SCHOOL",3,Manhattan,145,16.00,18.00,22.50,2.44,8.70,0.00,,,,,,,15.44,7.30
04M146,P.S. 146 ANN M. SHORT,4,Manhattan,146,12.77,14.89,7.81,14.29,18.75,25.00,,,,,,,11.89,16.90
08X146,P.S. 146 EDWARD COLLINS,8,Bronx,146,38.46,40.48,23.26,26.67,17.07,33.33,,,,,,,26.02,33.33
27Q146,P.S. 146 HOWARD BEACH,27,Queens,146,39.68,28.57,46.07,52.81,41.67,37.10,36.59,54.88,36.36,30.91,54.69,15.87,42.62,38.65
14K147,P.S. 147 ISAAC REMSEN,14,Brooklyn,147,62.50,46.67,29.17,21.74,62.07,27.59,,,,,,,52.94,32.93
30Q148,P.S. 148 QUEENS,30,Queens,148,23.12,38.10,25.33,31.25,27.97,25.17,,,,,,,25.26,32.06
30Q149,P.S. 149 CHRISTA MCAULIFFE,30,Queens,149,37.65,38.93,49.57,49.57,22.90,31.25,,,,,,,37.05,40.00
19K149,P.S. 149 DANNY KAYE,19,Brooklyn,149,18.28,20.21,19.47,19.83,15.63,18.18,,,,,,,17.88,19.42
03M149,P.S. 149 SOJOURNER TRUTH,3,Manhattan,149,20.83,4.00,12.00,3.85,15.38,23.08,0.00,0.00,4.17,0.00,18.52,3.70,12.41,6.12
02M150,P.S. 150,2,Manhattan,150,88.00,84.00,92.31,80.77,79.17,76.00,,,,,,,86.67,80.26
12X150,P.S. 150 CHARLES JAMES FOX,12,Bronx,150,22.06,20.57,16.94,17.60,21.64,15.71,,,,,,,20.30,17.98
23K150,P.S. 150 CHRISTOPHER,23,Brooklyn,150,11.11,19.44,7.50,7.50,14.29,4.76,,,,,,,10.31,11.34
30Q150,P.S. 150 QUEENS,30,Queens,150,57.76,63.03,63.06,69.81,52.23,58.13,52.00,62.24,,,,,56.70,63.40
32K151,P.S. 151 LYNDON B. JOHNSON,32,Brooklyn,151,20.51,11.90,16.00,16.00,18.00,11.76,,,,,,,17.99,13.29
30Q151,P.S. 151 MARY D. CARTER,30,Queens,151,28.36,22.39,27.03,42.11,30.16,22.22,,,,,,,28.74,26.79
06M152,P.S. 152 DYCKMAN VALLEY,6,Manhattan,152,32.29,26.80,24.39,22.62,17.72,13.41,,,,,,,25.29,21.29
08X152,P.S. 152 EVERGREEN,8,Bronx,152,18.55,23.62,22.54,23.78,21.05,18.25,,,,,,,20.80,21.87
30Q152,P.S. 152 GWENDOLINE N. ALLEYNE SCHOOL,30,Queens,152,50.74,52.83,51.14,53.74,53.04,57.75,,,,,,,51.58,54.63
06M153,P.S. 153 ADAM CLAYTON POWELL,6,Manhattan,153,31.90,31.62,37.14,32.41,30.00,21.51,,,,,,,33.12,28.93
11X153,P.S. 153 HELEN KELLER,11,Bronx,153,61.67,52.50,58.46,61.24,44.26,42.15,,,,,,,54.84,52.16
21K153,P.S. 153 HOMECREST,21,Brooklyn,153,45.00,53.16,41.10,37.50,35.29,24.44,,,,,,,40.34,37.76
24Q153,P.S. 153 MASPETH ELEM,24,Queens,153,58.76,66.15,61.58,63.16,43.46,49.48,42.86,48.23,,,,,52.31,57.36
05M154,P.S. 154 HARRIET TUBMAN,5,Manhattan,154,22.22,8.11,25.00,5.56,33.33,14.29,,,,,,,26.67,9.26
07X154,P.S. 154 JONATHAN D. HYATT,7,Bronx,154,35.48,27.42,16.67,16.67,27.27,30.91,,,,,,,26.55,24.86
25Q154,P.S. 154 QUEENS,25,Queens,154,48.51,56.60,44.25,47.15,45.08,62.10,,,,,,,45.83,55.24
27Q155,P.S. 155,27,Queens,155,52.11,52.78,51.39,63.51,35.16,47.25,,,,,,,45.30,54.01
04M155,P.S. 155 WILLIAM PACA,4,Manhattan,155,21.28,10.42,28.21,23.08,2.22,4.26,,,,,,,16.79,11.94
29Q156,P.S. 156 LAURELTON,29,Queens,156,34.69,12.00,26.83,23.81,21.95,11.90,,,,,,,28.24,15.67
23K156,P.S. 156 WAVERLY,23,Brooklyn,156,18.25,19.05,17.80,15.38,16.00,21.00,,,,,,,17.44,18.37
07X157,P.S. 157 GROVE HILL,7,Bronx,157,34.41,18.28,26.44,25.29,21.00,21.36,,,,,,,27.14,21.55
02M158,P.S. 158 BAYARD TAYLOR,2,Manhattan,158,91.07,89.66,86.59,83.33,80.37,77.36,,,,,,,86.05,83.66
19K158,P.S. 158 WARWICK,19,Brooklyn,158,22.86,13.21,32.94,25.88,20.45,10.00,,,,,,,25.18,16.01
26Q159,P.S. 159,26,Queens,159,74.76,75.24,69.52,78.30,63.16,66.67,,,,,,,69.31,73.62
19K159,P.S. 159 ISAAC PITKIN,19,Brooklyn,159,31.65,27.16,32.31,31.39,30.33,25.38,,,,,,,31.46,27.97
10X159,P.S. 159 LUIS MUNOZ MARIN BILING,10,Bronx,159,43.48,30.43,39.13,39.13,12.50,9.76,,,,,,,27.91,22.99
11X160,P.S. 160 WALT DISNEY,11,Bronx,160,29.09,3.64,28.79,17.91,27.66,8.51,,,,,,,28.57,10.65
28Q160,P.S. 160 WALTER FRANCIS BISHOP,28,Queens,160,23.64,19.64,30.00,25.00,21.78,18.63,,,,,,,24.92,20.92
20K160,P.S. 160 WILLIAM T. SAMPSON,20,Brooklyn,160,47.77,59.07,47.45,61.39,38.37,65.36,,,,,,,44.93,61.65
28Q161,P.S. 161 ARTHUR ASHE SCHOOL,28,Queens,161,46.28,55.12,64.15,70.09,46.84,50.00,,,,,,,52.61,58.92
07X161,P.S. 161 JUAN PONCE DE LEON SCHOOL,7,Bronx,161,19.35,11.29,27.12,20.34,12.99,16.67,,,,,,,19.19,16.08
05M161,P.S. 161 PEDRO ALBIZU CAMPOS,5,Manhattan,161,18.84,37.14,25.97,29.63,11.93,25.89,21.43,27.19,20.00,12.87,24.78,13.68,20.34,23.36
17K161,P.S. 161 THE CROWN,17,Brooklyn,161,28.13,21.88,42.11,36.36,38.10,26.56,,,,,,,36.45,28.78
26Q162,P.S. 162 JOHN GOLDEN,26,Queens,162,60.83,77.24,61.60,84.30,57.72,69.53,,,,,,,60.05,76.88
03M163,P.S. 163 ALFRED E. SMITH,3,Manhattan,163,64.29,61.18,57.14,56.04,59.00,59.41,,,,,,,60.00,58.84
09X163,P.S. 163 ARTHUR A. SCHOMBURG,9,Bronx,163,17.33,14.81,29.07,17.58,36.05,26.97,,,,,,,27.94,19.92
20K163,P.S. 163 BATH BEACH,20,Brooklyn,163,35.71,43.06,40.63,50.77,34.44,54.35,55.81,67.78,39.39,51.43,30.88,61.76,39.86,55.36
25Q163,P.S. 163 FLUSHING HEIGHTS,25,Queens,163,69.89,73.47,64.89,81.63,41.18,66.67,,,,,,,59.19,74.20
20K164,P.S. 164 CAESAR RODNEY,20,Brooklyn,164,46.81,46.32,45.07,42.25,27.94,36.76,,,,,,,40.77,42.31
25Q164,P.S. 164 QUEENS VALLEY,25,Queens,164,55.56,71.11,61.40,50.88,63.16,63.79,68.75,68.29,59.04,60.98,56.92,42.86,61.24,60.66
25Q165,P.S. 165 EDITH K. BERGTRAUM,25,Queens,165,65.22,62.32,52.58,57.14,52.75,56.67,,,,,,,57.98,59.20
23K165,P.S. 165 IDA POSNER,23,Brooklyn,165,26.67,15.63,18.18,17.65,16.67,5.56,2.63,2.56,11.54,3.70,3.13,3.33,12.82,8.08
03M165,P.S. 165 ROBERT E. SIMON,3,Manhattan,165,50.54,42.11,51.06,53.06,35.71,25.00,10.00,15.69,16.33,14.00,6.41,0.00,31.80,28.15
30Q166,P.S. 166 HENRY GRADSTEIN,30,Queens,166,59.09,63.47,65.37,60.38,47.90,51.50,,,,,,,58.11,59.03
03M166,P.S. 166 THE RICHARD RODGERS SCHOOL OF THE ARTS AND TECHNOLOGY,3,Manhattan,166,80.20,84.16,73.97,78.08,70.89,78.48,,,,,,,75.49,80.63
17K167,P.S. 167 THE PARKWAY,17,Brooklyn,167,,,0.00,0.00,13.73,13.73,,,,,,,13.46,13.46
25Q169,P.S. 169 BAY TERRACE,25,Queens,169,47.54,54.10,45.16,51.61,61.82,56.36,,,,,,,51.12,53.93
15K169,P.S. 169 SUNSET PARK,15,Brooklyn,169,26.37,36.84,34.67,47.37,26.83,44.92,,,,,,,29.24,42.71
04M171,P.S. 171 PATRICK HENRY,4,Manhattan,171,62.69,67.16,48.00,53.33,56.86,58.82,60.67,68.18,64.84,60.44,68.54,66.29,60.82,62.69
30Q171,P.S. 171 PETER G. VAN ALST,30,Queens,171,18.68,23.66,8.33,23.29,26.56,29.23,,,,,,,17.62,25.11
15K172,P.S. 172 BEACON SCHOOL OF EXCELLENCE,15,Brooklyn,172,94.12,96.51,96.25,100.00,76.92,97.53,,,,,,,89.30,97.98
06M173,P.S. 173,6,Manhattan,173,32.14,25.29,32.97,30.93,21.95,22.99,,,,,,,29.18,26.57
26Q173,P.S. 173 FRESH MEADOWS,26,Queens,173,61.78,64.20,73.38,75.48,49.69,66.27,,,,,,,61.44,68.53
19K174,P.S. 174 DUMONT,19,Brooklyn,174,,,,,2.50,0.00,,,,,,,2.50,0.00
28Q174,P.S. 174 WILLIAM SIDNEY MOUNT,28,Queens,174,57.69,64.42,64.29,61.46,58.59,68.00,,,,,,,60.13,64.67
11X175,P.S. 175 CITY ISLAND,11,Bronx,175,51.16,50.00,27.27,54.55,23.68,53.85,46.15,52.63,54.29,55.88,51.52,51.52,43.33,52.86
05M175,P.S. 175 HENRY H GARNET,5,Manhattan,175,14.58,30.77,26.92,20.75,17.24,26.67,,,,,,,19.62,26.06
28Q175,P.S. 175 THE LYNN GROSS DISCOVERY SCHOOL,28,Queens,175,44.76,58.65,56.64,60.34,44.33,51.04,,,,,,,48.89,56.96
29Q176,P.S. 176 CAMBRIA HEIGHTS,29,Queens,176,70.68,59.09,61.87,56.43,41.67,28.57,,,,,,,58.67,48.85
20K176,P.S. 176 OVINGTON,20,Brooklyn,176,65.46,73.83,58.24,67.75,49.79,64.63,,,,,,,57.91,68.77
21K177,P.S. 177 THE MARLBORO,21,Brooklyn,177,34.81,39.38,40.79,35.40,33.33,42.86,,,,,,,36.36,39.10
11X178,P.S. 178 - DR. SELMAN WAKSMAN,11,Bronx,178,21.52,34.15,41.94,25.53,19.57,28.26,,,,,,,28.03,29.10
23K178,P.S. 178 SAINT CLAIR MCKELWAY,23,Brooklyn,178,51.16,40.91,46.67,35.48,16.67,12.00,17.86,30.00,14.29,40.74,15.00,7.89,28.50,28.21
07X179,P.S. 179,7,Bronx,179,19.30,15.79,31.37,30.77,17.39,12.24,,,,,,,22.73,19.62
20K179,P.S. 179 KENSINGTON,20,Brooklyn,179,29.60,29.10,31.01,30.37,18.46,16.31,,,,,,,26.30,25.12
03M180,P.S. 180 HUGO NEWMAN,3,Manhattan,180,50.88,35.09,28.85,25.93,28.33,10.17,35.71,19.64,30.77,26.42,22.64,14.81,33.03,21.92
29Q181,P.S. 181 BROOKFIELD,29,Queens,181,32.73,16.67,31.25,10.42,44.26,35.48,,,,,,,36.59,21.95
17K181,P.S. 181 BROOKLYN,17,Brooklyn,181,13.19,11.83,19.44,11.11,11.96,6.52,22.89,14.29,11.69,7.69,36.47,27.06,19.22,12.96
08X182,P.S. 182,8,Bronx,182,31.74,31.95,40.67,41.18,22.15,23.90,,,,,,,31.37,32.22
28Q182,P.S. 182 SAMANTHA SMITH,28,Queens,182,41.27,28.57,25.20,26.15,21.00,22.60,,,,,,,27.81,25.27
27Q183,P.S. 183 DR. RICHARD R. GREEN,27,Queens,183,21.92,8.11,5.97,1.52,10.14,2.99,8.93,7.41,23.08,15.69,13.64,6.82,13.85,6.74
02M183,P.S. 183 ROBERT L. STEVENSON,2,Manhattan,183,78.41,79.12,83.78,83.12,65.52,70.00,,,,,,,75.50,77.13
25Q184,P.S. 184 FLUSHING MANOR,25,Queens,184,64.77,68.54,62.96,72.84,64.47,76.62,,,,,,,64.08,72.47
23K184,P.S. 184 NEWPORT,23,Brooklyn,184,17.31,11.54,26.83,17.07,7.32,14.63,8.51,12.50,23.68,15.79,25.81,23.33,17.60,15.20
01M184,P.S. 184M SHUANG WEN,1,Manhattan,184,61.02,88.14,51.67,85.25,68.25,84.62,67.11,78.05,72.22,70.83,76.09,79.17,65.96,80.62
20K185,P.S. 185 WALTER KASSENBROCK,20,Brooklyn,185,64.81,59.09,66.67,60.34,54.63,53.70,,,,,,,62.08,57.78
26Q186,P.S. 186 CASTLEWOOD,26,Queens,186,67.39,72.34,75.00,76.19,68.89,63.83,,,,,,,70.37,70.59
20K186,P.S. 186 DR. IRVING A GLADSTONE,20,Brooklyn,186,44.44,55.88,46.99,54.71,38.26,42.04,,,,,,,43.31,50.76
26Q188,P.S. 188 KINGSBURY,26,Queens,188,87.18,92.31,91.30,98.90,80.00,86.36,,,,,,,86.29,92.57
21K188,P.S. 188 MICHAEL E. BERDY,21,Brooklyn,188,21.84,20.69,29.33,23.68,27.27,16.46,,,,,,,25.94,20.25
01M188,P.S. 188 THE ISLAND SCHOOL,1,Manhattan,188,22.50,20.00,10.81,23.68,12.50,18.00,18.75,37.25,5.56,9.26,24.00,26.00,15.52,22.26
06M189,P.S. 189,6,Manhattan,189,29.56,24.54,24.07,23.98,29.66,25.41,,,,,,,27.56,24.56
17K189,P.S. 189 THE BILINGUAL CENTER,17,Brooklyn,189,49.04,64.49,52.13,68.13,44.74,47.37,43.16,57.73,34.82,50.98,56.20,74.07,46.72,60.26
