DBN,School,District,Borough,Schoolnum,ThreeELA,ThreeMath,FourELA,FourMath,FiveELA,FiveMath,SixELA,SixMath,SevenELA,SevenMath,EightELA,EightMath,AllGradeELA,AllGradeMath
09X449,GRANT AVENUE ELEMENTARY SCHOOL,9,Bronx,449,15.63,13.04,14.52,12.70,20.00,9.68,,,,,,,16.67,11.86
06M209,HAMILTON GRANGE MIDDLE SCHOOL,6,Manhattan,209,,,,,,,13.41,27.71,20.00,10.29,,,16.33,19.87
06M368,HAMILTON HEIGHTS SCHOOL,6,Manhattan,368,42.86,27.78,7.14,20.00,15.38,25.00,,,,,,,20.37,24.56
06M349,HARBOR HEIGHTS,6,Manhattan,349,,,,,,,4.55,5.00,0.00,2.22,6.12,10.77,4.21,6.67
27Q297,HAWTREE CREEK MIDDLE SCHOOL,27,Queens,297,,,,,,,28.04,25.69,33.33,18.00,30.85,9.47,31.05,18.08
19K760,HIGHLAND PARK COMMUNITY SCHOOL,19,Brooklyn,760,,,,,,,29.47,17.35,20.79,3.92,,,25.00,10.50
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,7,Bronx,500,,,,,,,17.02,17.02,8.33,1.69,22.81,2.27,15.85,6.67
30Q291,HUNTERS POINT COMMUNITY MIDDLE SCHOOL,30,Queens,291,,,,,,,41.51,50.94,46.09,41.27,59.65,46.43,49.14,45.93
22K381,I. S. 381,22,Brooklyn,381,,,,,,,34.41,16.67,30.12,12.79,50.00,14.41,39.08,14.68
31R007,I.S. 007 ELIAS BERNSTEIN,31,Staten Island,7,,,,,,,48.91,65.31,57.07,52.91,68.45,34.50,58.02,52.74
30Q010,I.S. 010 HORACE GREELEY,30,Queens,10,,,,,,,42.21,32.84,40.00,40.00,45.59,31.88,42.65,35.10
31R024,I.S. 024 MYRA S. BARNES,31,Staten Island,24,,,,,,,45.91,47.34,49.53,43.43,52.12,12.45,49.31,37.49
25Q025,I.S. 025 ADRIEN BLOCK,25,Queens,25,,,,,,,49.82,56.75,54.47,57.14,65.70,60.96,56.33,58.19
31R027,I.S. 027 ANNING S. PRALL,31,Staten Island,27,,,,,,,29.56,29.97,42.39,30.54,42.98,8.53,38.55,24.09
31R034,I.S. 034 TOTTENVILLE,31,Staten Island,34,,,,,,,47.83,51.65,50.82,53.50,58.60,59.05,52.27,54.63
31R051,I.S. 051 EDWIN MARKHAM,31,Staten Island,51,,,,,,,23.25,21.74,23.14,23.74,29.21,16.67,25.33,20.61
